Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
truth,com.google.common.truth,Platform.ToLocaleStringOptions,0,0,0,0,5,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/super/com/google/common/truth/Platform.java,199
truth,com.google.common.truth,Platform.JavaLikeOptions,1,0,0,0,12,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/super/com/google/common/truth/Platform.java,211
truth,com.google.common.truth,ComparisonFailureWithFacts,3,0,7,1,65,14,0,1,0.2857142857142857,5,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/ComparisonFailureWithFacts.java,35
truth,com.google.common.truth,MapSubject,13,0,20,16,408,39,1,1,0.4,7,4,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/MapSubject.java,44
truth,com.google.common.truth,MapSubject.ValueTester,0,0,0,0,3,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/MapSubject.java,243
truth,com.google.common.truth,MapSubject.MapDifference,3,0,0,0,60,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/MapSubject.java,258
truth,com.google.common.truth,MapSubject.ValueDifference,2,0,0,0,8,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/MapSubject.java,335
truth,com.google.common.truth,MapSubject.TypedToStringWrapper,1,0,0,0,15,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/MapSubject.java,366
truth,com.google.common.truth,MapSubject.MapInOrder,2,0,0,0,15,0,0,1,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/MapSubject.java,390
truth,com.google.common.truth,MapSubject.UsingCorrespondence,1,0,0,0,104,0,0,0,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/MapSubject.java,451
truth,com.google.common.truth,PrimitiveIntArraySubject,0,0,2,1,12,2,0,2,-1.0,5,2,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/PrimitiveIntArraySubject.java,21
truth,com.google.common.truth,ExpectFailure,4,0,14,10,126,19,0,0,0.2857142857142857,18,5,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/ExpectFailure.java,30
truth,com.google.common.truth,ExpectFailure.StandardSubjectBuilderCallback,0,0,0,0,6,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/ExpectFailure.java,217
truth,com.google.common.truth,ExpectFailure.SimpleSubjectBuilderCallback,0,0,0,0,6,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/ExpectFailure.java,230
truth,com.google.common.truth,Correspondence,1,0,6,6,56,6,3,0,1.0,17,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/Correspondence.java,23
truth,com.google.common.truth,Correspondence.TolerantNumericEquality,1,0,0,0,15,0,0,1,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/Correspondence.java,71
truth,com.google.common.truth,FloatSubject,1,0,16,14,152,25,0,2,0.5,5,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/FloatSubject.java,31
truth,com.google.common.truth,FloatSubject.TolerantFloatComparison,0,0,0,0,25,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/FloatSubject.java,43
truth,com.google.common.truth,ClassSubject,0,0,2,1,17,3,0,1,-1.0,5,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/ClassSubject.java,21
truth,com.google.common.truth,MultisetSubject,0,0,3,2,21,3,0,2,-1.0,5,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/MultisetSubject.java,23
truth,com.google.common.truth,Ordered,0,0,1,0,9,1,2,0,-1.0,14,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/Ordered.java,18
truth,com.google.common.truth,Fact,2,0,6,1,69,13,0,0,0.0,5,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/Fact.java,27
truth,com.google.common.truth,SetMultimapSubject,0,0,3,2,19,3,0,2,-1.0,4,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/SetMultimapSubject.java,22
truth,com.google.common.truth,IterableSubject,11,0,38,31,943,82,5,1,0.5263157894736842,23,4,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/IterableSubject.java,66
truth,com.google.common.truth,IterableSubject.PairwiseChecker,0,0,0,0,3,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/IterableSubject.java,651
truth,com.google.common.truth,IterableSubject.UsingCorrespondence,9,0,0,0,548,0,0,0,-1.0,0,2,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/IterableSubject.java,727
truth,com.google.common.truth,IterableSubject.Pairer,2,0,0,0,57,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/IterableSubject.java,1559
truth,com.google.common.truth,IterableSubject.Pairing,4,0,0,0,21,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/IterableSubject.java,1630
truth,com.google.common.truth,LazyMessage,3,0,4,1,37,8,0,0,0.0,3,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/LazyMessage.java,25
truth,com.google.common.truth,MathUtil,0,0,5,4,36,6,0,0,-1.0,2,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/MathUtil.java,21
truth,com.google.common.truth,StreamSubjectTest,0,0,42,41,227,42,0,0,-1.0,0,2,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/extensions/java8/src/test/java/com/google/common/truth/StreamSubjectTest.java,32
truth,com.google.common.truth,IntStreamSubjectTest,0,0,43,42,229,43,0,0,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/extensions/java8/src/test/java/com/google/common/truth/IntStreamSubjectTest.java,32
truth,com.google.common.truth,LongStreamSubjectTest,0,0,47,46,265,47,0,0,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/extensions/java8/src/test/java/com/google/common/truth/LongStreamSubjectTest.java,32
truth,com.google.common.truth,OptionalIntSubjectTest,0,0,14,13,61,14,0,0,-1.0,0,2,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/extensions/java8/src/test/java/com/google/common/truth/OptionalIntSubjectTest.java,28
truth,com.google.common.truth,OptionalDoubleSubjectTest,0,0,14,13,61,14,0,0,-1.0,0,2,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/extensions/java8/src/test/java/com/google/common/truth/OptionalDoubleSubjectTest.java,28
truth,com.google.common.truth,OptionalLongSubjectTest,0,0,14,13,61,14,0,0,-1.0,0,2,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/extensions/java8/src/test/java/com/google/common/truth/OptionalLongSubjectTest.java,28
truth,com.google.common.truth,PathSubjectTest,0,0,1,1,5,1,0,0,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/extensions/java8/src/test/java/com/google/common/truth/PathSubjectTest.java,25
truth,com.google.common.truth,ExpectFailure8Test,1,0,2,2,15,2,0,0,1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/extensions/java8/src/test/java/com/google/common/truth/ExpectFailure8Test.java,28
truth,com.google.common.truth,OptionalSubjectTest,0,0,13,12,61,13,0,0,-1.0,0,2,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/extensions/java8/src/test/java/com/google/common/truth/OptionalSubjectTest.java,29
truth,com.google.common.truth,FailureAssertions,0,0,4,0,16,4,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/extensions/java8/src/test/java/com/google/common/truth/FailureAssertions.java,20
truth,com.google.common.truth,IntStreamSubject,1,0,22,15,134,22,0,1,0.09090909090909091,1,2,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/extensions/java8/src/main/java/com/google/common/truth/IntStreamSubject.java,28
truth,com.google.common.truth,OptionalIntSubject,0,0,6,5,60,13,0,1,-1.0,2,3,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/extensions/java8/src/main/java/com/google/common/truth/OptionalIntSubject.java,24
truth,com.google.common.truth,StreamSubject,1,0,21,15,131,21,0,1,0.09523809523809523,2,3,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/extensions/java8/src/main/java/com/google/common/truth/StreamSubject.java,27
truth,com.google.common.truth,OptionalSubject,0,0,5,4,51,12,0,1,-1.0,1,2,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/extensions/java8/src/main/java/com/google/common/truth/OptionalSubject.java,24
truth,com.google.common.truth,OptionalDoubleSubject,0,0,6,5,60,13,0,1,-1.0,2,3,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/extensions/java8/src/main/java/com/google/common/truth/OptionalDoubleSubject.java,24
truth,com.google.common.truth,PathSubject,0,0,2,1,11,2,0,1,-1.0,1,2,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/extensions/java8/src/main/java/com/google/common/truth/PathSubject.java,21
