Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
truth,com.google.common.truth,CorrespondenceTest,testTolerance_viaIterableSubjectContains_success,3,1,0,137,1,,
truth,com.google.common.truth,CorrespondenceTest,testTolerance_viaIterableSubjectContains_failure,9,1,0,144,1,,
truth,com.google.common.truth,PrimitiveCharArraySubjectTest,isEqualTo,3,1,0,32,1,,
truth,com.google.common.truth,PrimitiveCharArraySubjectTest,isEqualTo_Same,4,1,0,37,1,,
truth,com.google.common.truth,PrimitiveCharArraySubjectTest,asList,3,1,0,43,1,com.google.common.truth.PrimitiveCharArraySubject,com.google.common.truth.PrimitiveCharArraySubject
truth,com.google.common.truth,PrimitiveCharArraySubjectTest,isEqualTo_Fail_UnequalOrdering,9,1,0,48,1,,
truth,com.google.common.truth,PrimitiveCharArraySubjectTest,isEqualTo_Fail_NotAnArray,9,1,0,58,1,com.google.common.truth.StringSubject,com.google.common.truth.StringSubject
truth,com.google.common.truth,PrimitiveCharArraySubjectTest,isNotEqualTo_SameLengths,3,1,0,69,1,,
truth,com.google.common.truth,PrimitiveCharArraySubjectTest,isNotEqualTo_DifferentLengths,3,1,0,74,1,,
truth,com.google.common.truth,PrimitiveCharArraySubjectTest,isNotEqualTo_DifferentTypes,3,1,0,79,1,,
truth,com.google.common.truth,PrimitiveCharArraySubjectTest,isNotEqualTo_FailEquals,9,1,0,84,1,,
truth,com.google.common.truth,PrimitiveCharArraySubjectTest,isNotEqualTo_FailSame,10,1,0,94,1,,
truth,com.google.common.truth,PrimitiveCharArraySubjectTest,array,3,1,1,105,0,,
truth,com.google.common.truth,StringSubjectTest,hasLength,3,1,0,35,1,,
truth,com.google.common.truth,StringSubjectTest,hasLengthZero,3,1,0,40,1,,
truth,com.google.common.truth,StringSubjectTest,hasLengthFails,9,1,0,45,1,,
truth,com.google.common.truth,StringSubjectTest,hasLengthNegative,8,1,0,55,1,,
truth,com.google.common.truth,StringSubjectTest,stringIsEmpty,3,1,0,64,1,,
truth,com.google.common.truth,StringSubjectTest,stringIsEmptyFail,9,1,0,69,1,,
truth,com.google.common.truth,StringSubjectTest,stringIsNotEmpty,3,1,0,79,1,,
truth,com.google.common.truth,StringSubjectTest,stringIsNotEmptyFail,9,1,0,84,1,,
truth,com.google.common.truth,StringSubjectTest,stringContains,3,1,0,94,1,com.google.common.truth.StringSubject,com.google.common.truth.StringSubject
truth,com.google.common.truth,StringSubjectTest,stringContainsCharSeq,4,1,0,99,1,com.google.common.truth.StringSubject,com.google.common.truth.StringSubject
truth,com.google.common.truth,StringSubjectTest,stringContainsFail,9,1,0,105,1,com.google.common.truth.StringSubject,com.google.common.truth.StringSubject
truth,com.google.common.truth,StringSubjectTest,stringDoesNotContain,3,1,0,115,1,com.google.common.truth.StringSubject,com.google.common.truth.StringSubject
truth,com.google.common.truth,StringSubjectTest,stringDoesNotContainCharSequence,4,1,0,120,1,com.google.common.truth.StringSubject,com.google.common.truth.StringSubject
truth,com.google.common.truth,StringSubjectTest,stringDoesNotContainFail,10,1,0,126,1,com.google.common.truth.StringSubject,com.google.common.truth.StringSubject
truth,com.google.common.truth,StringSubjectTest,stringEquality,4,1,0,137,1,,
truth,com.google.common.truth,StringSubjectTest,stringEqualityToNull,9,1,0,143,1,com.google.common.truth.StringSubject,com.google.common.truth.StringSubject
truth,com.google.common.truth,StringSubjectTest,stringEqualityFail,9,1,0,153,1,,
truth,com.google.common.truth,StringSubjectTest,stringNamedEqualityFail,9,1,0,163,1,,
truth,com.google.common.truth,StringSubjectTest,stringNamedNullFail,9,1,0,173,1,,
truth,com.google.common.truth,StringSubjectTest,stringStartsWith,3,1,0,183,1,com.google.common.truth.StringSubject,com.google.common.truth.StringSubject
truth,com.google.common.truth,StringSubjectTest,stringStartsWithFail,9,1,0,188,1,com.google.common.truth.StringSubject,com.google.common.truth.StringSubject
truth,com.google.common.truth,StringSubjectTest,stringEndsWith,3,1,0,198,1,com.google.common.truth.StringSubject,com.google.common.truth.StringSubject
truth,com.google.common.truth,StringSubjectTest,stringEndsWithFail,9,1,0,203,1,com.google.common.truth.StringSubject,com.google.common.truth.StringSubject
truth,com.google.common.truth,StringSubjectTest,emptyStringTests,8,1,0,213,1,com.google.common.truth.StringSubject,com.google.common.truth.StringSubject
truth,com.google.common.truth,StringSubjectTest,stringMatchesString,3,1,0,223,1,com.google.common.truth.StringSubject,com.google.common.truth.StringSubject
truth,com.google.common.truth,StringSubjectTest,stringMatchesStringWithFail,9,1,0,228,1,com.google.common.truth.StringSubject,com.google.common.truth.StringSubject
truth,com.google.common.truth,StringSubjectTest,stringMatchesPattern,3,1,0,238,1,,
truth,com.google.common.truth,StringSubjectTest,stringMatchesPatternWithFail,9,1,0,243,1,,
truth,com.google.common.truth,StringSubjectTest,stringContainsMatchStringUsesFind,4,1,0,253,1,,
truth,com.google.common.truth,StringSubjectTest,stringContainsMatchString,10,1,0,259,1,,
truth,com.google.common.truth,StringSubjectTest,stringContainsMatchPattern,10,1,0,271,1,,
truth,com.google.common.truth,StringSubjectTest,stringDoesNotContainMatchString,10,1,0,283,1,,
truth,com.google.common.truth,StringSubjectTest,stringDoesNotContainMatchStringUsesFind,9,1,0,295,1,,
truth,com.google.common.truth,StringSubjectTest,stringDoesNotContainMatchPattern,10,1,0,305,1,,
